Genus_species,n
Abies_amabilis,111
Abies_concolor,7959
Abies_grandis,1487
Abies_grandis or lasiocarpa,453
Abies_lasiocarpa,814
Abies_magnifica,489
Abies_NA,76
Acer_floridanum,1
Acer_grandidentatum,4
Acer_macrophyllum,7
Acer_rubrum,456
Acer_saccharum,49
Aesculus_glabra,2
Ailanthus_NA,1
Albizia_julibrissin,1
Alnus_incana,43
Alnus_rubra,1
Amelanchier_arborea,26
Aralia_spinosa,9
Arbutus_menziesii,18
Asimina_triloba,8
Betula_lenta,3
Calocedrus_decurrens,2882
Carpinus_caroliniana,11
Carya_glabra,19
Carya_NA,45
Carya_pallida,16
Carya_texana,57
Carya_tomentosa,110
Castanea_dentata,1
Castanea_pumila,2
Celtis_laevigata,2
Celtis_occidentalis,7
Cercis_canadensis,10
Chamaecyparis_lawsoniana,65
Chamaecyparis_nootkatensis,26
Chrysolepis_chrysophylla,7
Cornus_florida,290
Cornus_nuttallii,119
Crataegus_marshallii,1
Crataegus_NA,4
Diospyros_virginiana,94
Fagus_grandifolia,19
Frangula_caroliniana,5
Fraxinus_americana,32
Fraxinus_NA,12
Fraxinus_pennsylvanica,1
Gleditsia_triacanthos,3
Hamamelis_virginiana,15
Holodiscus_discolor,3
Ilex_opaca,39
Juglans_nigra,5
Juniperus_deppeana,26
Juniperus_monosperma,14
Juniperus_occidentalis,54
Juniperus_osteosperma,218
Juniperus_scopulorum,129
Juniperus_virginiana,56
Larix_occidentalis,1039
Liquidambar_styraciflua,479
Liriodendron_NA,38
Liriodendron_tulipifera,144
Magnolia_fraseri,14
Magnolia_grandiflora,37
Magnolia_tripetala,10
Magnolia_virginiana,8
Morus_NA,1
Morus_rubra,2
Notholithocarpus_densiflorus,60
Nyssa_sylvatica,246
Ostrya_virginiana,78
Oxydendrum_arboreum,415
Persea_borbonia,2
Picea_engelmannii,675
Picea_glauca,20
Picea_mariana,96
Picea_P. pungens or P. engelmannii,1
Picea_pungens,58
Picea_sitchensis,8
Pinus_albicaulis,211
Pinus_arizonica,1
Pinus_attenuata,216
Pinus_banksiana,1
Pinus_contorta,2006
Pinus_coulteri,182
Pinus_echinata,446
Pinus_edulis,274
Pinus_elliottii,499
Pinus_flexilis,125
Pinus_glabra,17
Pinus_jeffreyi,712
Pinus_jeffreyi or ponderosa,2284
Pinus_lambertiana,2074
Pinus_monophylla,3
Pinus_monticola,209
Pinus_NA,35
Pinus_palustris,672
Pinus_ponderosa,13151
Pinus_resinosa,240
Pinus_rigida,34
Pinus_sabiniana,3
Pinus_strobiformis,80
Pinus_strobus,43
Pinus_taeda,895
Pinus_virginiana,302
Platanus_NA,4
Platanus_occidentalis,3
Populus_deltoides,185
Populus_grandidentata,10
Populus_tremuloides,586
Prunus_americana,20
Prunus_emarginata,2
Prunus_mexicana,2
Prunus_NA,4
Prunus_serotina,285
Prunus_umbellata,6
Pseudotsuga_macrocarpa,1
Pseudotsuga_menziesii,6780
Quercus_alba,287
Quercus_chrysolepis,40
Quercus_coccinea,276
Quercus_falcata,428
Quercus_gambelii,181
Quercus_garryana,283
Quercus_incana,7
Quercus_kelloggii,454
Quercus_laevis,57
Quercus_laurifolia,612
Quercus_marilandica,11
Quercus_muehlenbergii,1
Quercus_NA,58
Quercus_nigra,264
Quercus_phellos,1
Quercus_prinus,253
Quercus_rubra,100
Quercus_stellata,217
Quercus_velutina,108
Quercus_wislizeni,4
Rhus_copallinum,8
Robinia_pseudoacacia,16
Salix_NA,7
Salix_scouleriana,3
Sassafras_albidum,170
Sassafras_NA,37
Sequoia_sempervirens,8
Sequoiadendron_giganteum,103
Taxus_brevifolia,6
Thuja_plicata,465
Tilia_americana,21
Torreya_californica,2
Tsuga_canadensis,20
Tsuga_heterophylla,1360
Tsuga_mertensiana,366
Ulmus_alata,72
Ulmus_americana,9
Ulmus_rubra,2
Unknown,122
Vaccinium_arboreum,20
Viburnum_rufidulum,3
